Loan_ID,Student_ID,Age,Gender,Race_Ethnicity,Major,Graduated,Disability,Military,Employment_Status,Expected_Annual_Income,Loan_Type,Principal_Balance,Interest_Rate,Monthly_Payment,Repayment_Plan,Default
S032,UCHI032,22,Male,Hispanic,Art,Yes,No,No,Full-Time,45000,Federal,22000,4.05%,235,Standard,No
S033,UCHI033,27,Female,White,Law,Yes,No,No,Full-Time,115000,Private,75000,6.30%,845,Standard,No
S034,UCHI034,23,Male,Black,Education,Yes,No,No,Full-Time,52000,Federal,25000,4.30%,267,Standard,No
S035,UCHI035,24,Female,White,Philosophy,No,No,No,Unemployed,28000,Private,36000,7.10%,405,Standard,Yes
S036,UCHI036,25,Male,Asian,Computer Science,Yes,No,No,Full-Time,95000,Federal,34000,5.05%,364,Standard,No
S037,UCHI037,22,Female,Hispanic,Psychology,Yes,No,No,Part-Time,40000,Private,33000,6.85%,370,Standard,Yes
S038,UCHI038,26,Male,White,Chemistry,Yes,No,No,Full-Time,75000,Federal,29000,4.50%,310,Standard,No
S039,UCHI039,23,Female,Black,History,No,No,No,Part-Time,32000,Private,37000,7.05%,415,Standard,Yes
S040,UCHI040,24,Male,Asian,Engineering,Yes,No,No,Full-Time,105000,Federal,38000,5.15%,407,Standard,No
S041,UCHI041,21,Female,White,Mathematics,Yes,No,No,Full-Time,78000,Federal,27000,4.40%,289,Standard,No
S042,UCHI042,25,Male,Hispanic,English,Yes,No,No,Full-Time,50000,Federal,24000,4.10%,256,Standard,No
S043,UCHI043,22,Female,Black,Economics,Yes,No,No,Full-Time,70000,Federal,26000,4.35%,278,Standard,No
S044,UCHI044,24,Male,White,Medicine,Yes,No,No,Full-Time,145000,Private,72000,6.50%,810,Standard,No
S045,UCHI045,23,Female,Asian,Biology,Yes,No,No,Full-Time,62000,Federal,28000,4.60%,299,Standard,No
S046,UCHI046,26,Male,Hispanic,Physics,Yes,No,No,Full-Time,90000,Federal,32000,4.95%,342,Standard,No
S047,UCHI047,25,Female,White,Art,Yes,No,No,Full-Time,48000,Federal,23000,4.25%,246,Standard,No
S048,UCHI048,22,Male,Black,History,No,No,No,Unemployed,25000,Private,35000,7.25%,395,Standard,Yes
S049,UCHI049,24,Female,Asian,Chemistry,Yes,No,No,Full-Time,82000,Federal,30000,4.75%,321,Standard,No
S050,UCHI049,23,Male,White,Business,Yes,No,No,Full-Time,85000,Federal,31000,4.80%,332,Standard,No
